,created_at,user_id,username,tweet,english
0,2020-12-30 01:00:45 SE Asia Standard Time,1081398165444546562,sahabat_kartu,"Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  https://t.co/Fgaz2qSbGx","Do not be confused to choose the sites that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 https://t.co/Fgaz2qSbGx"
1,2020-12-29 22:59:28 SE Asia Standard Time,1342179349802315776,xierenchen08,"@Dila250796 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  https://t.co/1dR0XyTIBf","@ Dila250796 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 https://t.co/1dR0XyTIBf"
2,2020-12-28 20:34:00 SE Asia Standard Time,1081398165444546562,sahabat_kartu,"Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  https://t.co/RRtSgHOkPY","Do not be confused to choose the sites that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 https://t.co/RRtSgHOkPY"
3,2020-12-28 02:10:30 SE Asia Standard Time,1342179349802315776,xierenchen08,"@Amelia23082947 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  https://t.co/Rjrx58JSeI","@ Amelia23082947 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 https://t.co/Rjrx58JSeI"
4,2020-12-28 02:10:25 SE Asia Standard Time,1342179349802315776,xierenchen08,"@Tantebella14 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  https://t.co/rdVsIqXXrT","@ Tantebella14 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 https://t.co/rdVsIqXXrT"
5,2020-12-27 21:44:40 SE Asia Standard Time,1081398165444546562,sahabat_kartu,"Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  sahabatkartu agen poker domino 99 online terpercaya indonesia  https://t.co/fygzvk4XCi","Do not be confused to choose the sites that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 sahabatkartu 99 dominoes online poker agent reliable Indonesia https://t.co / fygzvk4XCi"
6,2020-12-27 19:30:38 SE Asia Standard Time,2962498987,panjaitannoven,@NEY_4PU3 Gw malah sering dpt sms krn isi ulang pulsa. Pdhl gw pake kartu Halo. Kpn isi pulsanya gw? Belum lagi dpt undian Dr bank yg gw ga nabung di bank tersebut. @Telkomsel sdh saatnya sih berbenah utk memberikan kenyamanan bg pelanggan. Blm bgt teh @NEY_4PU3,@ NEY_4PU3 Gw krn instead often interchangeable sms reload. Gw pdhl use Halo card. Kpn contents gw pulse? Not to mention that the bank Dr interchangeable lottery gw ga saving in the bank. It's time to clean the heck SDH @Telkomsel order to give customers the convenience bg. P bgt tea @ NEY_4PU3
7,2020-12-26 22:43:31 SE Asia Standard Time,1342179349802315776,xierenchen08,"@Evaa0895 Jangan bingung memilih situs yang terbukti keamanan dan kenyamanan Kunjungi Sahabatkartu saja di jamin aman 100% Deposit Via PULSA TELKOMSEL  Contact us : * Livechat : sahabatkartu01,org * WhatsApp : +855886427216  https://t.co/Cvk0aYJJsm","@ Evaa0895 Do not confuse selecting a site that proved the safety and comfort Visit only guaranteed safe Sahabatkartu 100% Deposit Via PULSE TELKOMSEL Contact us: * livechat: sahabatkartu01, org * WhatsApp: +855886427216 https://t.co/Cvk0aYJJsm"
8,2020-12-23 04:23:00 SE Asia Standard Time,76663780,mfirsan,Bener2 dah telkomsel mau nonton bola aja secara kenyamanan didzolimin. Padahal secara kuota udah didzolimin abis2an,Bener2 dah aja telkomsel want to watch in the comfort didzolimin ball. Though the quota already didzolimin abis2an
9,2020-12-06 20:09:10 SE Asia Standard Time,61765572,haritso,Tolong dong! @Telkomsel kalau lagi nelpon jangan suka diputus cuma buat ngasih bonus doang! Ini kan mengganggu kenyamanan namanya!  https://t.co/trEW4OPJwC,Help please! @Telkomsel if again calling do not like cut just for give bonuses only! It's disturbing the comfort of his name! https://t.co/trEW4OPJwC
