Unnamed: 0,created_at,user_id,username,tweet,english
0,2020-06-30 06:52:51 SE Asia Standard Time,494687664,rikisetiawan19,Bener banget Sobat ! Hanya Combo Sakti yg paling laku sekarang ini.  Paket Internet paling komplit  &amp; murah ! Internetan dan Telpon jadi satu. Dengan paket #ComboSakti Telkomsel pelanggan…  https://t.co/2RbHI1x8Ld,Bener really dude! Combo Only Way that most salable today. The most comprehensive Internet packages & amp; cheap ! Call surf and so one. With #ComboSakti package Telkomsel customers ... https://t.co/2RbHI1x8Ld
1,2020-06-30 06:30:42 SE Asia Standard Time,43633276,fajrihiza,"halo @Telkomsel , nomor sy simpati loop tidak bisa pakai internet sejak tadi malam padahal paket data masih ada. bisa dibantu?","hello @Telkomsel, sy numbers sympathy loop can not use the internet since last night when packet data is still there. Can I help?"
2,2020-06-30 06:22:46 SE Asia Standard Time,43633276,fajrihiza,@Telkomsel nomor sy kok ga bisa digunakan utk internet dari malam tadi ya?paket data ada.skrg sy pakai wifi,@Telkomsel sy numbers can be used for kok ga on the internet last night huh? Sy ada.skrg data packets use wifi
3,2020-06-30 05:45:12 SE Asia Standard Time,1155158875,rizq_vanhelsing,"@Telkomsel cara mengetahui lokasi aktivasi paket internet lokal,gimana? Kuota masih banyak tapi tidak dapat digunakan","@Telkomsel way of knowing the location of the activation of local internet package, how? Quotas are still a lot but can not be used"
4,2020-06-30 05:32:57 SE Asia Standard Time,1092635347572350976,andylim981,@Telkomsel Kepada Yth Mas/Mbak di Telkomsel tolong cek sisa kuota internet di nomor 0812 8744 4507 terima kasih dari andy,@Telkomsel Dear Mas / Sister in Telkomsel please check internet quota remaining at number 0812 8744 4507 thanks from andy
5,2020-06-30 05:26:14 SE Asia Standard Time,325547792,muyuwa7,@guemoii @collegemenfess Boro2 di mbak. Beberapa minggu lalu di aku juga sama. Aku mesti bantu keponakan ngerjain tugas tapi internet gak mendukung. Padahal pake Telkomsel Halo.,@guemoii @collegemenfess Boro2 at ya. A few weeks ago at me the same. I had to work on the task niece aids but do not support the internet. Though use Telkomsel Halo.
6,2020-06-30 05:25:55 SE Asia Standard Time,1161950330432544769,zufariez,@AdiftyaC @Telkomsel Gajauh beda sama home internet nya wkwkwk restart jalan ninja ku,@AdiftyaC @Telkomsel Gajauh different as his internet home wkwkwk restart my ninja way
7,2020-06-30 05:09:41 SE Asia Standard Time,1156893931214237697,lllesram,D-86 kapan ya @NetflixID bisa dipake pake internet dari @IndiHome sama @Telkomsel ??,D-86 when ya @NetflixID could be using the internet use of the same @IndiHome @Telkomsel ??
8,2020-06-30 05:05:28 SE Asia Standard Time,984186704545198080,ajiprima_03,"@papukian @IndosatCare @Telkomsel Kan udah dual SIM, ga perlu ganti nomor cukup ganti kartu buat paketan data internet nya doel paham ga....","@papukian @IndosatCare @Telkomsel Kan dual SIM already, no need to change the number sufficient to replace the card for its internet data paketan doel understand ga ...."
9,2020-06-30 05:01:30 SE Asia Standard Time,516353385,neuvadeny,"Min @Telkomsel kenapa pulsa di nomor istri sy selalu disedot habis sampai NOL padahal sudah paketan internet?? Tidak pandang bulu, entah itu sisa 1000, 5000, 10.000 atau berapapun sisanya selalu disedot habis sampai NOL Rupiah padahal tidak dipakai utk apapun.","Min @Telkomsel why toll on wife number sy always sucked discharged to zero when it was packaged internet ?? Indiscriminately, whether it's the rest of 1000, 5000, 10,000 or whatever the rest always sucked discharged to zero amount when it is not used any Utk."
