Unnamed: 0,created_at,user_id,username,tweet,english
1,2020-07-31 05:33:40 SE Asia Standard Time,707761506083954688,paketdatacom,kuota internet telkomsel  https://t.co/AxoGmifYHN #telkomselflash #kuotamurah #jualan #olshop #SEO #web WA 089635111111 BBM:585BE691 #pulsaonline,https://t.co/AxoGmifYHN telkomsel internet quota #telkomselflash #kuotamurah #jualan #olshop #SEO #web WA 089635111111 Fuel: 585BE691 #pulsaonline
2,2020-07-31 05:03:19 SE Asia Standard Time,46394879,ilosanre,"@Telkomsel juga berharap Paket Ilmupedia E-Learning Session yang tersedia dengan harga terjangkau ini dapat memberikan kemudahan dan kenyamanan proses belajar daring, sekaligus meringankan pengeluaran untuk alokasi kuota internet sehari-hari.","@Telkomsel also hope Package Ilmupedia E-Learning Session is available at an affordable price can provide ease and convenience of online learning process, as well as expenses for the allocation of quotas relieve everyday internet."
3,2020-07-31 04:10:35 SE Asia Standard Time,4464667994,luthfieghany,@Telkomsel Jadi tidak bisa memperpanjang aktivasi masa paket internet ya kak,@Telkomsel So it can not extend the activation period kak ya internet packages
4,2020-07-31 03:55:32 SE Asia Standard Time,346367336,recalana,"Ingat idul adha tahun lalu pertama kali ga bisa kumpul keluarga, alias pas kkn di pelosok kampung yg tdk ada jaringan internet, cuman jaringan E telkomsel kek hp gsm hanya bisa buat nelpon itu pun dititik titik tertentu di puncak gunung.","Eid al-Adha last year remember the first time can not gather the family, alias fitting kkn in remote villages who cut no internet network, network cuman E telkomsel kek gsm phone can only make it even dititik calling a certain point on the mountain top."
8,2020-07-31 00:34:45 SE Asia Standard Time,344570487,jellopy_,"Min @Telkomsel , paket internet malam kok tidak tersedia metode pembayaran melalui dompet online ya?????????????","Min @Telkomsel, no shuttlecock night Internet packages available through online wallet payment method yes ?????????????"
10,2020-07-31 00:30:00 SE Asia Standard Time,727721791,avnoted,"@Telkomsel oalah sinyalmu bikin emosi, internet delay mulu dari tadi, cuk.","@Telkomsel Oalah sinyalmu make emotional, internet mulu delay of yesteryear, choke."
12,2020-07-31 00:03:30 SE Asia Standard Time,992673313141899264,iina_surbakti,"Waduh.. Ada-ada saja ya, nama @Telkomsel sampai dicatut dalam informasi hoaks Bagi-bagi Kuota Internet Gratis. Seperti apa berita selengkapnya, baca yuk supaya terhindar dari informasi bohong yang menyesatkan.  https://t.co/WzONg1OmLh","Oops .. nonsense yes, the name has been misused inside information @Telkomsel until hoaks Divide Quota Free Internet. As with any more news, read yuk order to avoid misleading false information. https://t.co/WzONg1OmLh"
25,2020-07-30 22:40:15 SE Asia Standard Time,1096637170306019328,nabilaqshl,"Selamat Malam @Telkomsel , kenapa Kuota Sosmed saya tidak berkurang, padahal saya daritadi membuka Instagram, tapi yang malah berkurang Kuota Internet biasa. Terima kasih  https://t.co/m5oxQXyAQs","Happy hours @Telkomsel why I Sosmed quota does not decrease, but I daritadi open Instagram, but that is even less regular Internet quota. Thanks https://t.co/m5oxQXyAQs"
27,2020-07-30 22:37:41 SE Asia Standard Time,119214760,chat2610,"@Telkomsel Sudah saya DM dari tadi. Kuota nelpon xtra kartu halo lho, bukan kuota internet. Dicek aja , tks.","Already @Telkomsel I DM of yesteryear. Quota calling card xtra hello you know, not quotas internet. Checked wrote, tks."
28,2020-07-30 22:36:46 SE Asia Standard Time,153400084,bangsaid,@scwijayahartono dikira saya doank. Agak nyesel belo @myorbitid. Petunjuk aktivasi ga jelas. Modem sinyal full tapi no internet connection. Akhirnya dibawa ke Grapari. Ndilalahnya Grapari Lippo Karawaci hari ini offline. Disuruh nunggu 3 hari. Solusi macam apa ini @telkomsel,I calculated @scwijayahartono talaga. Rather nyesel belo @myorbitid. Activation instructions are not clear. Modem full signal but no internet connection. Finally brought to Grapari. Ndilalahnya Grapari Lippo Karawaci today offline. Told to wait 3 days. What kind of solution is @telkomsel
