,created_at,user_id,username,tweet,english
0,2021-02-27 23:11:46 SE Asia Standard Time,69820861,saegaleri,Koneksi @Telkomsel ko sekarang suka kacau ya. Knp nih? Sering lemoooottt bgt skrg tuh. Harga paket lebih mahal dr yg lain.,@Telkomsel connection ko now like chaotic yes. Knp ya? Often lemoooottt skrg bgt tuh. The package price is more expensive dr else.
1,2021-02-27 22:05:42 SE Asia Standard Time,3316865436,yrr1995,"@ankerleci Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/mCLpPZapKI","@ankerleci Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/mCLpPZapKI"
2,2021-02-27 22:04:41 SE Asia Standard Time,3316865436,yrr1995,"@corettidakperlu Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/7zHc1f7Mjn","@corettidakperlu Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/7zHc1f7Mjn"
3,2021-02-27 19:50:05 SE Asia Standard Time,2507098394,syedharizamri,"Mau beli pulsa 5K atau 1K DM aku aja harga cuma nambah se rebu. 5000 (Lima Ribu) jadi 6000 lalu 1000 (Seribu) jadi 2000 Tapi cuma bisa Telkomsel, XL, Indosat sama Three aja  https://t.co/FoQZDBWnqg","Want to buy a pulse 5K or 1K DM I wrote just add se rebu price. 5000 (five thousand) so 6000 and 1000 (Thousand) finished in 2000 but could only Telkomsel, XL, Indosat at Three wrote https://t.co/FoQZDBWnqg"
4,2021-02-27 19:35:21 SE Asia Standard Time,2507098394,syedharizamri,"@basebeli Mau beli pulsa 5K atau 1K DM aku aja harga cuma nambah serebu. 5000 (Lima Ribu) jadi 6000 lalu 1000 (Seribu) jadi 2000 Tapi cuma bisa Telkomsel, XL, Indosat sama Three aja","Want to buy credit @basebeli 5K or 1K DM I wrote just add serebu price. 5000 (five thousand) so 6000 and 1000 (Thousand) finished in 2000 but could only Telkomsel, XL, Indosat at Three aja"
5,2021-02-27 18:32:17 SE Asia Standard Time,1256106786915880960,sygfess,"Say! Aku mau ganti kartu, kira kira yang harga paketannya murah apa ya? Btw sebelumnya aku pake telkomsel 😭","Say! I want to replace the card, approximately the price of cheap paketannya what? Previous Btw I use telkomsel 😭"
6,2021-02-27 17:23:20 SE Asia Standard Time,1183984176724246528,eatspaghetti_,"@softboypars yah kl telkomsel ga murah, sama aja ky harga di aplikasinya","@softboypars yah kl ga Telkomsel's, just wrote ky prices on application"
7,2021-02-27 15:14:58 SE Asia Standard Time,262045220,kiiikkiii_,"Tolong dong klo sekiranya kualitasnya ga sebagus dulu lg, seengganya harganya diturunin kek :( Ini mah udah harga paketnya mahal, kualitas sinyalnya makin parah :( untuk buka video aja loadingnya lama bgt. double kill ga tuh🥺🔥 @Telkomsel","Please dong klo in case the quality is as good as before lg ga, seengganya price :( kek diturunin mah This package price is already high, the signal quality is getting worse :( to open the video with slow bgt aja. Double kill ga tuh🥺🔥 @Telkomsel"
8,2021-02-27 13:11:28 SE Asia Standard Time,1309764083323826176,gahyeyon,"Halo aku jual kuota all operator nih smartfren - tri - telkomsel - xl - axis - indosat semua ada.     Harganya juga murah-murah, bisa klik tweet ini dan scroll kebawah buat liat harga-harganya ya😻  #zonauang #zonaba #zonajajan #zonabu","Hello I sell ya all operator smartfren quota - tri - Telkomsel - xl - axis - indosat all there. The price is also cheap-cheap, this tweet can click and scroll down for the prices ya😻 clay #zonauang #zonaba #zonajajan #zonabu"
9,2021-02-27 11:29:05 SE Asia Standard Time,3316865436,yrr1995,"@ini_aim Permisi, izin promosi yaa?  📲 OPEN ORDER Telkomsel, IM3 Ooredoo(Indosat) XL, Axis,Tri, Smartfren, Token PLN dll. ✅Fast respon ✅Trusted Payment: 💳BRI ➡OVO 🆙Cek harga dibawah 📲Contact: 0821 5468 28 22  https://t.co/F93Ns72hmd","@ini_aim Excuse me, clearance sale yaa? OPEN ORDER 📲 Telkomsel, IM3 Ooredoo (Indosat) XL, Axis, Tri, Smartfren, Token PLN etc. ✅Fast ✅Trusted response Payment: 💳BRI ➡OVO 🆙Cek 📲Contact price below: 0821 5468 28 22 https://t.co/F93Ns72hmd"
